host_id;Pivot Field Names;Pivot Field Values
2787;availability_365;365
2787;calculated_host_listings_count;5
2787;latitude;40,65
2787;longitude;-73,97
2787;minimum_nights;1
2787;number_of_reviews;9
2787;price;149
2787;reviews_per_month;0,21
2845;availability_365;355
2845;calculated_host_listings_count;2
2845;latitude;40,75
2845;longitude;-73,98
2845;minimum_nights;1
2845;number_of_reviews;45
2845;price;225
2845;reviews_per_month;0,38
4632;availability_365;365
4632;calculated_host_listings_count;1
4632;latitude;40,81
4632;longitude;-73,94
4632;minimum_nights;3
4632;number_of_reviews;0
4632;price;150
4632;reviews_per_month;0
4869;availability_365;194
4869;calculated_host_listings_count;1
4869;latitude;40,69
4869;longitude;-73,96
4869;minimum_nights;1
4869;number_of_reviews;70
4869;price;89
4869;reviews_per_month;3,25
7192;availability_365;0
7192;calculated_host_listings_count;1
7192;latitude;40,8
7192;longitude;-73,94
7192;minimum_nights;10
7192;number_of_reviews;9
7192;price;80
7192;reviews_per_month;0,1
7322;availability_365;129
7322;calculated_host_listings_count;1
7322;latitude;40,75
7322;longitude;-73,97
7322;minimum_nights;3
7322;number_of_reviews;70
7322;price;200
7322;reviews_per_month;0,59
7356;availability_365;0
7356;calculated_host_listings_count;1
7356;latitude;40,69
7356;longitude;-73,96
7356;minimum_nights;28
7356;number_of_reviews;49
7356;price;60
7356;reviews_per_month;0,4
8967;availability_365;220
8967;calculated_host_listings_count;1
8967;latitude;40,76
8967;longitude;-73,98
8967;minimum_nights;2
8967;number_of_reviews;70
8967;price;79
8967;reviews_per_month;3,25
7490;availability_365;0
7490;calculated_host_listings_count;1
7490;latitude;40,8
7490;longitude;-73,97
7490;minimum_nights;2
7490;number_of_reviews;70
7490;price;79
7490;reviews_per_month;0,99
7549;availability_365;188
7549;calculated_host_listings_count;4
7549;latitude;40,71
7549;longitude;-73,99
7549;minimum_nights;1
7549;number_of_reviews;70
7549;price;150
7549;reviews_per_month;1,33
7702;availability_365;6
7702;calculated_host_listings_count;1
7702;latitude;40,8
7702;longitude;-73,97
7702;minimum_nights;5
7702;number_of_reviews;53
7702;price;135
7702;reviews_per_month;0,43
7989;availability_365;39
7989;calculated_host_listings_count;1
7989;latitude;40,76
7989;longitude;-73,99
7989;minimum_nights;2
7989;number_of_reviews;70
7989;price;85
7989;reviews_per_month;1,5
9744;availability_365;314
9744;calculated_host_listings_count;3
9744;latitude;40,67
9744;longitude;-73,99
